18-2023 05:06:52	343.990754089	0.000878782
18-2023 05:13:07	343.982457886	0.001140090
18-2023 05:19:21	343.986562500	0.001075756
18-2023 05:25:36	344.020374146	0.000666600
18-2023 05:31:50	343.984752808	0.001183565
18-2023 05:38:05	344.159870605	0.003487051
18-2023 05:44:19	344.810477905	0.004102752
18-2023 05:50:34	345.576606445	0.004515427
18-2023 05:56:48	346.397745361	0.005107564
18-2023 06:03:03	347.132246399	0.003942689
18-2023 06:09:17	347.888919373	0.004425974
18-2023 06:15:31	348.639193420	0.004755415
18-2023 06:21:46	349.478194580	0.004880455
18-2023 06:28:00	350.242658997	0.002931823
18-2023 06:34:15	351.042605286	0.003117935
18-2023 06:40:29	351.814339905	0.004735519
18-2023 06:46:44	352.593239441	0.004096067
18-2023 06:52:58	353.320193787	0.003184363
18-2023 06:59:13	354.014786072	0.003791951
18-2023 07:05:27	354.137454224	0.004226110
18-2023 07:11:41	355.036527100	0.004875995
18-2023 07:17:56	356.006638184	0.005220371
18-2023 07:24:10	356.769449463	0.004563021
18-2023 07:30:25	357.499598999	0.003726649
18-2023 07:36:39	358.258380432	0.003472615
18-2023 07:42:54	359.021210632	0.004076219
18-2023 07:49:08	359.823759460	0.004235321
18-2023 07:55:23	360.605372620	0.004187165
18-2023 08:01:37	361.392659607	0.003993007
18-2023 08:07:52	362.153510437	0.004298628
18-2023 08:14:06	362.947763977	0.004052232
18-2023 08:20:20	363.706487427	0.004223037
18-2023 08:26:35	364.485575867	0.003958932
18-2023 08:32:49	365.266654968	0.004154769
18-2023 08:39:04	366.060121460	0.004299215
18-2023 08:45:18	366.840433350	0.004171799
18-2023 08:51:33	367.590408020	0.004146705
18-2023 08:57:47	368.400556030	0.004367649
18-2023 09:04:02	369.162825623	0.003989931
18-2023 09:10:16	369.951827393	0.004200520
18-2023 09:16:31	370.747135315	0.004310361
18-2023 09:22:45	371.593858643	0.005075086
18-2023 09:29:00	372.446332397	0.003729631
18-2023 09:35:14	373.199697571	0.004763516
18-2023 09:41:29	374.013190308	0.004436873
18-2023 09:47:43	374.812210388	0.004698778
18-2023 09:53:58	375.566242065	0.003906000
18-2023 10:00:12	376.334994507	0.003714521
18-2023 10:06:27	377.101375427	0.003962993
18-2023 10:12:41	377.815379944	0.003638924
18-2023 10:18:56	378.569887390	0.003546571
18-2023 10:25:10	379.309515686	0.004010499
18-2023 10:31:24	380.129652405	0.004884601
18-2023 10:37:39	380.955936890	0.004513122
18-2023 10:43:53	381.794698792	0.005082337
18-2023 10:50:08	382.759971924	0.003970585
18-2023 10:56:22	383.587727661	0.004563776
18-2023 11:02:37	384.286239624	0.003029510
18-2023 11:08:51	384.950782166	0.003672208
18-2023 11:15:06	385.633185120	0.003826085
18-2023 11:21:20	386.319639893	0.003577741
18-2023 11:27:35	387.133461914	0.004299787
18-2023 11:33:49	387.866132202	0.004054280
